alias,canonico
OPERATIVO,OPERATIVO
POR DESINCORPORAR,POR DESINCORPORAR
INOPERATIVO,INOPERATIVO
DESINCORPORADO,DESINCORPORADO
EN REPARACION,EN REPARACION
POR UBICAR,POR UBICAR
HURTADO,HURTADO
OTROS ENTES,OTROS ENTES
