alias,canonico
BLANCO,BLANCO
AMARILLO,AMARILLO
AZUL,AZUL
NEGRO,NEGRO
NARANJA,NARANJA
GRIS,GRIS
ROJO,ROJO
VERDE,VERDE
BEIGE,BEIGE
PLATEADO,PLATEADO
VINOTINTO,VINOTINTO
DORADO,DORADO
FUCSIA,FUCSIA
